niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Start Deutsch 1),ab,,"-den itibaren, -den beri",,Sonstiges,Ab morgen muss ich arbeiten.,ab,A1_SD1.pdf
A1 (Start Deutsch 1),aber,,"ama, fakat",,Sonstiges,"Ich bin oft im Büro, aber nur für wenige Stunden.",aber,A1_SD1.pdf
A1 (Start Deutsch 1),abfahren,,"hareket etmek, kalkmak",,Sonstiges,Wir fahren um zwölf Uhr ab.,abfahren,A1_SD1.pdf
A1 (Start Deutsch 1),Abfahrt,die,"kalkış, hareket",,Nomen,Vor der Abfahrt rufe ich an.,die Abfahrt,A1_SD1.pdf
A1 (Start Deutsch 1),abgeben,,"teslim etmek, vermek",,Sonstiges,Ich muss meine Schlüssel abgeben.,abgeben,A1_SD1.pdf
A1 (Start Deutsch 1),abholen,,"almak, karşılamak",,Sonstiges,Wann kann ich den Schrank bei dir abholen? Wir müssen noch meinen Bruder abholen.,abholen,A1_SD1.pdf
A1 (Start Deutsch 1),Absender,der,gönderen kişi,,Nomen,Da ist ein Brief für dich ohne Absender.,der Absender,A1_SD1.pdf
A1 (Start Deutsch 1),Achtung,,dikkat,,Sonstiges,Achtung! Das dürfen Sie nicht tun.,Achtung,A1_SD1.pdf
A1 (Start Deutsch 1),Adresse,die,adres,-en,Nomen,Können Sie mir seine Adresse sagen?,"die Adresse,-en",A1_SD1.pdf
A1 (Start Deutsch 1),all-,,"tüm, bütün, hepsi",,Sonstiges,Alles Gute! Das ist alles. Sind alle da? Alle Freunde kommen. Hast du alles?,all-,A1_SD1.pdf
A1 (Start Deutsch 1),allein,,yalnız,,Sonstiges,Er kommt allein.,allein,A1_SD1.pdf
A1 (Start Deutsch 1),also,,"yani, öyleyse",,Sonstiges,"Also, es ist so: ... Er hat Zeit, also muss er uns helfen.",also,A1_SD1.pdf
A1 (Start Deutsch 1),alt,,"yaşlı, eski",,Sonstiges,Wie alt sind Sie? Sie sehen aber nicht so alt aus. Mein Auto ist schon sehr alt. Wir wohnen in einem sehr alten Haus. Köln ist eine alte Stadt.,alt,A1_SD1.pdf
A1 (Start Deutsch 1),Alter,das,yaş,,Nomen,Alter: 26 Jahre.,das Alter,A1_SD1.pdf
A1 (Start Deutsch 1),an,,"-de, -da; -e, -a",,Sonstiges,Fahren Sie an der nächsten Straße nach rechts. Wir treffen uns am Bahnhof. Am nächsten Montag geht es leider nicht.,an,A1_SD1.pdf
A1 (Start Deutsch 1),anbieten,,"sunmak, ikram etmek",,Sonstiges,Was darf ich dir anbieten?,anbieten,A1_SD1.pdf
